Date,Adress,Size,Rooms,Broker,Rent,Price
20220216,Skillinggränd 9,20,1,Unknown,1159,2790000
20201112,Skillinggränd 9,20,1,Unknown,941,2650000
20210323,Tegelbruksvägen 14,20,1,"Pontus
Wilhede",1959,2000000
20220816,Tjärhovsgatan 22,20,1,Unknown,2011,2120000
20210226,Tjärhovsgatan 22,20,1,Unknown,2352,2300000
2019101,Tjärhovsgatan 22,20,1,Unknown,2240,2250000
20190228,Tjärhovsgatan 22,20,1,Unknown,2369,2200000
2022077,Tomtebogatan 3,20,1,Unknown,565,2995000
20220216,Tomtebogatan 3,20,1,Unknown,565,2995000
20220126,Tomtebogatan 3,20,1,Unknown,565,3050000
20220630,Valhallavägen 47,20,1,Unknown,1101,2420000
20190822,Valhallavägen 47,20,1,"Joakim
Andersson",1101,2380000
2019116,Valutavägen 25,20,1,Unknown,1659,2000000
20220720,Valutavägen 27,20,1,"Daniel
Sjödin",1576,1895000
20190822,Valutavägen 27,20,1,"Daniel
Sjödin",1659,1890000
20211024,Vanadisvägen 7,20,1,Unknown,1171,2650000
20220415,Värtavägen 59,20,1,"Malin
Sjöblom",1082,2550000
20211123,Värtavägen 59,20,1,Unknown,1085,2400000
20211019,Värtavägen 59,20,1,Unknown,1082,2300000
20210916,Värtavägen 59,20,1,"Malin
Sjöblom",1082,2100000
20210815,Värtavägen 59,20,1,Unknown,1082,2350000
20210326,Värtavägen 59,20,1,"Lovisa
Hidesten",1187,2250000
20200731,Värtavägen 59,20,1,Unknown,1187,2300000
2019059,Värtavägen 59,20,1,Unknown,1082,2250000
20201113,Västmannagatan 93,20,1,Unknown,1241,2600000
20220518,Vindragarvägen 12,20,1,Unknown,1110,2475000
20220623,Vulcanusgatan 8,20,1,Unknown,806,2700000
20200828,Vulcanusgatan 8,20,1,Unknown,896,2730000
2019122,Vulcanusgatan 8,20,1,Unknown,896,2730000
2019104,Vulcanusgatan 8,20,1,"Marcus
Ljungdahl",806,2500000
20190619,Vulcanusgatan 8,20,1,"Nicola
Grez-Pancetti",1126,2400000
2021111,Vulcanusgatan 9,20,1,"Amanda
Treutiger",1179,2600000
2020126,Wargentinsgatan 4,20,1,Unknown,1583,2670000
20211125,Wollmar Yxkullsgatan 48A,20,1,Unknown,1513,2700000
20190320,Sandhamnsgatan 23,20.3,1,Unknown,372,2100000
2022068,Baltzar von Platens gata 7C,20.5,1,Unknown,467,2620000
2022029,Bandhagsplan 11,20.5,1,Unknown,1843,1800000
20190215,Bandhagsplan 9,20.5,1,Unknown,1771,1760000
20200424,Birger Jarlsgatan 104 N,20.5,1,Unknown,1559,2240000
20191017,Birger Jarlsgatan 104 N,20.5,1,"Anna
Hoffman",1559,2620000
20200813,Gyllenborgsgatan 16,20.5,1,Unknown,1100,2400000
20200422,Gyllenborgsgatan 16,20.5,1,Unknown,1100,2100000
20221026,Gyllenborgsgatan 16. 1,20.5,1,Unknown,1100,2300000
2019094,Hälsingegatan 35,20.5,1,Unknown,1530,2560000
20190626,Hälsingegatan 35,20.5,1,Unknown,1437,2350000
20210610,Helgalunden 13,20.5,1,Unknown,1202,2300000
2022066,Kungsbro Strand 19,20.5,1,Unknown,1739,2350000
20210913,Kungsbro strand 19,20.5,1,Unknown,1705,2500000
2021035,Kungsbro strand 19,20.5,1,"Julia
Larsson",1705,2500000
20200128,Kungsbro strand 19,20.5,1,Unknown,1671,2480000
20181212,Thorildsvägen 2,20.5,2,Unknown,1149,2530000
20210612,Alströmergatan 49,21,1,Unknown,1509,2695000
20210326,Alströmergatan 49,21,1,"Christina
Björkholmen",1586,2400000
20220914,Alströmergatan 51,21,1,"Amanda
Treutiger",1266,2790000
20210131,Anders Reimers väg 14,21,1,Unknown,1412,2450000
2021115,Åsögatan 176,21,1,"Kristina
Ucar",1069,2800000
20200923,Åsögatan 176,21,1,Unknown,1253,2500000
2022039,Bäckaskiftsvägen 17 A,21,1,Unknown,1100,1950000
20220629,Bäckaskiftsvägen 17A,21,1,"Jeanette
Giörtz",1265,1950000
20200314,Bäckaskiftsvägen 17A,21,1,"Jane
Keding",1204,1950000
20210624,Baltzar Von Platens Gata 7C,21,1,"Mikael
Bjérnhof",539,2580000
20210915,Bergsgatan 20,21,1,"Patrik
Lundberg",909,2830000
20220512,Bergsgatan 3,21,1,Unknown,1209,2950000
2020124,Bergsgatan 3,21,1,Unknown,1044,2820000
20210331,Bildhuggarvägen 4,21,1,"Dennis
Sivertsson",1370,1995000
2022055,Birger Jarlsgatan 104 I,21,1,Unknown,1497,2790000
2021129,Birger Jarlsgatan 104 I,21,1,Unknown,1466,2900000
20210624,Birger Jarlsgatan 104 I,21,1,Unknown,1528,2800000
2020049,Birger Jarlsgatan 104 J,21,1,"Anna
Hoffman",1559,2395000
20191024,Birger Jarlsgatan 104 J,21,1,Unknown,1559,2670000
20221227,Birger Jarlsgatan 104A,21,1,Unknown,1524,2745000
20220120,Birger Jarlsgatan 104A,21,1,Unknown,1555,3000000
20210927,Birger Jarlsgatan 104A,21,1,Unknown,1523,2520000
20210827,Birger Jarlsgatan 104A,21,1,"Sofia
Elfsson da Costa",1587,2510000
2020051,Birger Jarlsgatan 104A,21,1,"Anna
Hoffman",1619,2470000
2022115,Birger Jarlsgatan 104J,21,1,"Emillio
Afram",1467,2695000
20220518,Birger Jarlsgatan 104J,21,1,Unknown,1497,2760000
20221020,Birger Jarlsgatan 104K,21,1,Unknown,1524,2650000
20200916,Birger Jarlsgatan 67,21,1,Unknown,917,2950000
20200827,Bondegatan 3 B,21,1,Unknown,1873,2480000
20211020,Bondegatan 46,21,1,Unknown,1343,2740000
2021093,Bondegatan 46,21,1,Unknown,1343,2720000
20210422,Bondegatan 46,21,1,"Erik
Frisk",1267,2700000
20200416,Bondegatan 46,21,1,Unknown,1268,2500000
20200214,Bondegatan 46,21,1,Unknown,1268,2670000
20200115,Bondegatan 46,21,1,Unknown,1268,2600000
20191114,Bondegatan 55,21,1,Unknown,1227,2525000
20211123,Bondegatan 79,21,1,Unknown,1313,2670000
2019064,Brännkyrkagatan 119,21,1,Unknown,1575,2650000
20220120,Brännkyrkagatan 44,21,1,Unknown,1051,2900000
20210323,Brännkyrkagatan 44,21,1,Unknown,1051,2700000
20190417,Brännkyrkagatan 44,21,1,"Caroline
Eliasson",1051,2330000
2019122,Brantingsgatan 25,21,1,"Emmy
Thorén",1378,2600000
20200924,Bråvallagatan 3,21,1,Unknown,1322,2720000
2020085,Bråvallagatan 3,21,1,Unknown,1319,2750000
20191111,Erik Segersälls väg 13,21,1,Unknown,1235,2000000
20210812,Essinge Brogata 39,21,1,Unknown,1835,2175000
20190213,Essinge Brogata 39,21,1,"Robin
Heimberger",1787,2200000
20220220,Finn Malmgrens Väg 2 B,21,1,"julia
larsson",1417,2350000
2019035,Finn Malmgrens väg 2B,21,1,Unknown,1362,2300000
2019027,Forsskålsgatan 12,21,1,"Pontus
Palmén",1590,2170000
2020026,Frejgatan 25 A,21,1,Unknown,1074,2950000
20220615,Frejgatan 25A,21,1,"Viktor
Moberg",1074,2750000
20210218,Gamla Huddingevägen 441,21,1,"Johan
Sandberg",1253,1675000
20220314,Gjutargatan 4 A,21,1,Unknown,857,2500000
2021056,Gjutargatan 4 A,21,1,Unknown,857,2300000
20210421,Grafikvägen 22,21,1,"Josefin
Uggla",1089,2050000
20200731,Grafikvägen 22,21,1,"Josefin
Uggla",1089,2100000
2019115,Grafikvägen 22,21,1,"Anette
Larsdotter",1089,2150000
20200917,Grevgatan 47 A,21,1,"Robin
Nyvall",595,3250000
20210113,Grindsgatan 31,21,1,Unknown,1276,2325000
20200318,Grindsgatan 31,21,1,Unknown,1276,2310000
20200224,Grindsgatan 31,21,1,Unknown,1276,2250000
20200731,Gyllenborgsgatan 15,21,1,Unknown,1314,2575000
20190824,Gyllenborgsgatan 15,21,1,Unknown,1314,2450000
20200118,Gyllenborgsgatan 22,21,1,"Sarah
Österling",1223,2370000
2021086,Hallandsgatan 26,21,1,Unknown,944,2700000
2019088,Hallandsgatan 26,21,1,Unknown,944,2410000
20210729,Hallandsgatan 48,21,1,Unknown,1570,2560000
20190710,Hallandsgatan 48,21,1,"Linus
Johansson",1570,2620000
20210824,Hälsingegatan 35,21,1,"Joseph
Rashid",1530,2825000
2022113,Hästholmsvägen 10,21,1,"Andreas
Peterson",1001,2100000
20220512,Hästholmsvägen 10,21,1,Unknown,1001,2075000
20210329,Hästholmsvägen 10,21,1,Unknown,1001,2150000
20220823,Heleneborgsgatan 24,21,1,Unknown,933,2650000
20210611,Heleneborgsgatan 9 A - egen ingång,21,1,Unknown,1265,2500000
2021055,Heleneborgsgatan 9A,21,1,Unknown,1265,2730000
20220323,Högalidsgatan 29,21,1,Unknown,1297,2810000
2021129,Högalidsgatan 29,21,1,Unknown,1116,2790000
2021121,Högalidsgatan 29,21,1,Unknown,1116,2800000
20210224,Högalidsgatan 29,21,1,Unknown,1116,2710000
20220111,Högalidsgatan 31,21,1,Unknown,1616,2630000
2021119,Högalidsgatan 31,21,1,Unknown,1616,2598000
2021041,Högalidsgatan 33,21,1,Unknown,1517,2600000
20190524,Högalidsgatan 33,21,1,Unknown,1517,2650000
20201013,Högalidsgatan 34C,21,1,Unknown,996,2500000
20201126,Högalidsgatan 38C,21,1,Unknown,962,2610000
20200611,Hornsgatan 180,21,1,"Lawan
Farag",1641,2850000
20200325,Hornsgatan 57,21,1,Unknown,389,2550000
2022052,Hornsgatan 57A,21,1,Unknown,389,2875000
20210415,Industrigatan 9,21,1,"Amanda
Persson",1050,2700000
20200729,Industrigatan 9,21,1,"Dilini
Panabokke",1050,2570000
20220617,Inedalsgatan 15,21,1,"Nils
Janemar",1503,3325000
20190914,Inedalsgatan 15,21,1,"Thilde
Ångström",1416,3100000
2020107,Inteckningsvägen 13,21,1,"Kim
Ekholm",925,1825000
20210425,Isgränd 17,21,1,Unknown,1311,1900000
2019072,Isgränd 5,21,1,"Eddie
Can",1268,1970000
20190227,Isgränd 5,21,1,"Adam
Hammoud",1268,1760000
20221128,Isgränd 7,21,1,Unknown,1311,1680000
2021045,Isgränd 7,21,1,Unknown,1311,1950000
20190321,Isgränd 7,21,1,Unknown,1268,1700000
2022121,Karlavägen 90A,21,1,Unknown,1609,2765000
2021049,Karlbergsvägen 87,21,1,"Joe
Maatouk",1036,3100000
20210121,Karlsviksgatan 17,21,1,"Peter
Pedersen",1167,2140000
20210426,Kristinebergsvägen 7,21,1,"David
Garrett",1042,2350000
20210423,Krukmakargatan 38,21,1,Unknown,2100,2500000
20201117,Kungsklippan 17 B,21,1,"Jakob
Jakobsson",808,2780000
