Date,Adress,Size,Rooms,Broker,Rent,Price
2020067,S:t Eriksgatan 89,22,1,Jan Borild,325,2710000
2022026,Sågargatan 17,22,1,Unknown,1672,2850000
2021084,Samaritgränd 6,22,1,Unknown,1166,2825000
20210427,Samaritgränd 9,22,1,Unknown,1519,2710000
20190129,Sankt Eriksgatan 12 A,22,1,Unknown,766,2600000
2022105,Sankt Eriksgatan 55 A,22,1,Andreas Tid,1218,2495000
20210115,Sankt Eriksgatan 59A,22,1,Unknown,838,2550000
20190228,Sibyllegatan 21 A,22,1,Unknown,766,2995000
20200910,Sjösabrinken 7A,22,1,Unknown,1233,1450000
20220113,Sofielundsplan 57,22,1,Unknown,1418,2250000
20220917,Ståltrådsvägen 8,22,1,Hevrê Yildiz,1576,1725000
20211112,Sturegatan 19,22,1,Unknown,798,3250000
20220822,Svandammsvägen 3,22,1,Unknown,1714,2100000
2019073,Tavastgatan 29A,22,1,Unknown,496,2900000
2020101,Tavastgatan 37,22,1,Unknown,1095,2600000
2022117,Tjärhovsgatan 5,22,1,Unknown,618,2550000
2021098,Tulegatan 22 - ACCEPTERAT PRIS,22,1,Unknown,1207,2750000
20210113,Upplandsgatan 25 A,22,1,Unknown,929,3100000
20221014,Värtavägen 59,22,1,Unknown,1144,2295000
2022117,Vindragarvägen 4,22,1,Unknown,1394,2360000
20220214,Vindragarvägen 8,22,1,Unknown,1386,2600000
20220222,Wittstocksgatan 10,22,1,Unknown,678,4000000
20220324,Ymsenvägen 3,22,1,Unknown,1393,2270000
2019125,Fleminggatan 26,22.2,1,Magnus Larsson,884,2660000
2022065,Gimmerstavägen 10,22.4,1,Unknown,1469,1500000
2022029,Åsögatan 174,22.5,1,Unknown,1069,3000000
20220810,Helgalunden 17,22.5,1,Unknown,1508,2500000
20210416,Lundagatan 44 A,22.5,1,Unknown,1236,2440000
20200527,Roslagsgatan 39 A,22.5,1,Jim Ribe,937,2850000
20210923,Sankt göransgatan 153,22.5,1,Adam Stephani,1069,2400000
20221219,Sankt Göransgatan 153,22.5,1,Unknown,1176,2250000
20221213,Alströmergatan 32D,23,1,Unknown,1427,2400000
20210122,Anna Sandströms gata 12,23,1,Unknown,1263,1790000
20221219,Arvodesvägen 8,23,1,Unknown,2121,2050000
20190930,Askrikegatan 17,23,1,Unknown,1011,2900000
2020105,Banérgatan 31 A,23,1,Erik Frisk,1017,2850000
20200728,Bergsgatan 19 A,23,1,Unknown,1224,3075000
20221116,Bergsundsgatan 15,23,1,Unknown,1424,2520000
20220619,Bondegatan 16A,23,1,Unknown,956,2750000
20210520,Ekhagsvägen 10,23,1,Mathias Dominius,1586,2400000
2021029,Emågatan 39,23,1,Walid Mirzazadeh,1933,1620000
2022111,Erik Dahlbergsgatan 20,23,1,Mourad Tajiou,1085,2550000
20220630,Essinge Brogata 39,23,1,Robin Heimberger,1888,2230000
20220915,Essingestråket 34,23,1,Kerstin Wallin,1554,2300000
2022053,Fleminggatan 77,23,1,Unknown,966,2850000
2021078,Folkungagatan 146B,23,1,Unknown,900,2800000
20220519,Follingbogatan 18 - ACCEPTERAT PRIS!,23,1,Emma Bogren,2611,1500000
2022082,Follingbogatan 22 - Accepterat pris!,23,1,Emma Bogren,2611,1550000
20220224,Furusundsgatan 3,23,1,Unknown,1527,3000000
2021101,Gamla Huddingevägen 439,23,1,Unknown,1915,1600000
20191127,Grevgatan 23A,23,1,Unknown,1426,2825000
20210422,Gubbkärrsvägen 29S 4tr,23,1,Noomi Unéus,1521,2000000
20220216,Hägerstensvägen 209,23,1,Alexandra Ekstrand,2202,2240000
20221019,Heleneborgsgatan 9C,23,1,Felix Zidaric,1356,2700000
20200728,Hjulstavägen 92 vån 7,23,1,Robin Stegeby,1639,1300000
20220326,Hornsgatan 64A,23,1,Unknown,961,3000000
20210114,Jämtlandsgatan 72 (Vån 1),23,1,Josef Gubrail,1291,1650000
2022035,Jämtlandsgatan 80,23,1,Jimmy Armasson,1375,1500000
2022046,Johannesbergsgatan 3 - ACCEPTERAT PRIS,23,1,Valencia Can,1660,1450000
20210224,Kammakargatan 18 2 tr,23,1,Robin Stegeby,2058,2500000
20200424,Körsbärsvägen 6 A,23,1,Unknown,1880,2160000
20220930,Körsbärsvägen 6A,23,1,Ronni Mleczkovicz,1736,2250000
2022062,Kratsbodavägen 36,23,1,Hevrê Yildiz,1716,2050000
2022077,Krukmakargatan 69,23,1,Unknown,1596,2500000
2021107,Kungsholms Hamnplan 5,23,1,Angelica Hermansson,1063,2850000
20210915,Maria Skolgata 87,23,1,Unknown,1664,2900000
20200320,Nockeby Torg 11A,23,1,Unknown,927,1475000
20220623,Norr Mälarstrand 24,23,1,Dilini Panabokke,911,3135000
20201031,Odengatan 87,23,1,Niklas Jonasson,907,2800000
20210825,Orvar Odds väg 2,23,1,Unknown,1536,2470000
20220813,Rindögatan 28,23,1,Unknown,1665,2695000
20221124,Rindögatan 4,23,1,Mourad Tajiou,1529,2355000
2019118,Rutger fuchsgatan 4,23,1,Unknown,1211,2650000
20200528,Skånegatan 105A,23,1,Erica Skoglund,1569,2200000
2022029,Skeppargatan 54,23,1,Unknown,520,3710000
2020092,Skeppargatan 57,23,1,Unknown,734,2840000
20221129,Skeppargatan 98,23,1,Unknown,1284,2820000
20221118,Skönviksvägen 299,23,1,Stefan Disefjord,1738,1750000
20220513,Sveavägen 122,23,1,Nathalie Jensen,1114,2910000
20220111,Sveavägen 83,23,1,Nicola Grez-Pancetti,850,3200000
20220811,Torbjörn Klockares gata 13,23,1,Unknown,1450,2790000
20220827,Torphagsvägen 6,23,1,Unknown,1494,1995000
20210929,Torsgatan 60,23,2,Fredrik Brunned,321,3005000
2021082,Upplandsgatan 25A,23,1,Unknown,930,2850000
2021085,Valhallavägen 134,23,1,Unknown,784,3375000
20221021,Valhallavägen 73,23,1,Lovisa Hidesten,1398,2700000
20220728,Västmannagatan 33,23,1,Unknown,925,3300000
20200930,Västmannagatan 89A Ög,23,1,Unknown,947,2800000
20220518,Västmannagatan 97,23,1,Unknown,1380,2850000
20210329,Vikstensvägen 46,23,1,Unknown,1525,2090000
2021112,Vittangigatan 1 (Våning 7.5),23,1,Jimmy Solkarin,1653,1595000
2022082,Vittangigatan 10 (1 Tr),23,1,Jimmy Solkarin,1631,1550000
20210915,Vittangigatan 16,23,1,Unknown,1631,1650000
20200429,Vivstavarvsvägen 165,23,1,Unknown,980,1665000
