Date,Adress,Size,Rooms,Broker,Rent,Price
20190822.0,Bokbindarvägen 55,24.0,1.0,Restate,1437.0,2200000.0
20190822.0,Valutavägen 27,20.0,1.0,Svenska Mäklarhuset Hägersten/Liljeholmen,1659.0,1890000.0
20190822.0,Paternostervägen 70,20.0,1.0,Bjurfors Hammarby/Skarpnäck & Farsta,1153.0,1570000.0
20190822.0,Arvodesvägen 18,20.0,1.0,HusmanHagberg Hägersten,1450.0,2020000.0
20190822.0,Luntmakargatan 85,22.0,1.0,StockholmFast,1344.0,2680000.0
20190821.0,Styrmansgatan 16B,24.0,1.0,Innerstadsspecialisten Stockholm AB,1827.0,3150000.0
20190821.0,Lundagatan 36B,24.5,1.0,Svensk Fastighetsförmedling Sthlm Södermalm,1374.0,2550000.0
20190821.0,Sysslomansgatan 24,25.0,1.0,Mäklarhuset Stockholm Innerstan,1282.0,2700000.0
20190820.0,Klubbacken 22,25.0,1.0,Fastighetsbyrån Hägersten/Älvsjö,1466.0,2150000.0
20190820.0,Lidnersplan 8,22.0,1.0,Historiska Hem,1446.0,2500000.0
20190820.0,Bergsgatan 19,20.0,1.0,Svensk Fastighetsförmedling Sthlm Kungsholmen,1076.0,2500000.0
20190816.0,Östhammarsgatan 70 B,24.0,1.0,Fastighetsbyrån Stockholm – Östermalm,1534.0,2490000.0
20190816.0,Arvodesvägen 8,23.0,1.0,Svensk Fastighetsförmedling Hägersten-Liljeholmen,2064.0,2115000.0
20190816.0,Birger Jarlsgatan 104F,24.0,1.0,BlumenthalHoffman Fastighetsmäkleri,1997.0,2900000.0
20190815.0,Bondegatan 3D,23.0,1.0,BOSTHLM Fastighetsmäklare AB,1958.0,2790000.0
20190815.0,Västmannagatan 97,24.0,1.0,Erik Olsson Fastighetsförmedling,1861.0,2600000.0
20190815.0,Falugatan 16,25.0,1.0,Vision Mäkleri AB,1400.0,2930000.0
20190815.0,Gullmarsvägen 8,24.0,1.0,BOSTHLM Fastighetsmäklare AB,1219.0,2420000.0
20190814.0,Nytorgsgatan 33,24.0,1.0,Fastighetsbyrån Stockholm - Södermalm,677.0,3120000.0
20190814.0,Karlbergsvägen 57,20.0,1.0,Mäklarhuset Stockholm Innerstan,1017.0,2600000.0
20190814.0,Åsögatan 182,23.0,1.0,BOSTHLM Fastighetsmäklare AB,1334.0,2530000.0
20190813.0,Strålgatan 47,24.0,1.0,Bronze Fastighetsförmedling AB,2171.0,2200000.0
20190810.0,Odengatan 89,22.0,1.0,Notar,436.0,2750000.0
20190810.0,Rosenlundsgatan 24,20.0,1.0,BOSTHLM Fastighetsmäklare AB,1096.0,2300000.0
2019089.0,Rindögatan 27,23.4,1.0,Fastighetsbyrån Stockholm – Östermalm,1497.0,2575000.0
2019089.0,Sankt Göransgatan 153,22.5,1.0,Länsförsäkringar Fastighetsförmedling Stockholm - Kungsholmen,1550.0,2500000.0
2019089.0,Östhammarsgatan 75,24.7,1.0,Länsförsäkringar Fastighetsförmedling Stockholm - Östermalm,1651.0,2400000.0
2019089.0,Lundagatan 36B,24.5,1.0,Länsförsäkringar Fastighetsförmedling Stockholm - Södermalm,1374.0,2650000.0
2019089.0,Robert Almströmsgatan 4,22.0,1.0,BOSTHLM Fastighetsmäklare AB,1284.0,2520000.0
2019088.0,Kungsklippan 11,24.0,1.0,Fastighetsbyrån Stockholm - Kungsholmen,1706.0,2600000.0
2019088.0,Hallandsgatan 26,21.0,1.0,Svensk Fastighetsförmedling Sthlm Södermalm,944.0,2410000.0
2019088.0,Bildhuggarvägen 4,24.0,1.0,Bjurfors Enskede,1579.0,2000000.0
2019088.0,Ljusstöparbacken 5C,22.0,1.0,Notar,1217.0,2000000.0
2019088.0,Skridskovägen 9A,24.0,1.0,Erik Olsson Fastighetsförmedling,1290.0,2050000.0
