Date,Adress,Size,Rooms,Broker,Rent,Price,Datetime,PricePerKvm,NearbyPOIs,Latitude,Longitude
20220919,Korphoppsgatan 40,59.5,2,Unknown,4043,4810000,2022-09-19,80840,155,59.3040680978642,18.1020355224609
20220215,Hornsbruksgatan 3B,59.5,3,Unknown,2534,6550000,2022-02-15,110084,497,59.3166844749487,18.03955078125
20220131,Karlbergsvägen 80B,59.5,2,Unknown,2836,7000000,2022-01-31,117647,474,59.3433036805996,18.0292510986328
20220215,Katarina bangata 50,59.5,2,Unknown,3112,7130000,2022-02-15,119832,837,59.3110777741145,18.0821228027344
20220426,Kungsgatan 73,59.5,2,Unknown,2743,9800000,2022-04-26,164706,1300,59.3313976663669,18.0484771728516
2022077,Spångavägen 393F,59.8,2,Unknown,4680,2050000,2022-07-07,34281,22,59.377597673241,17.9029083251953
20221024,Fridhemsgatan 64,59.8,2,Vilhelm Åman,3885,5700000,2022-10-24,95318,538,59.3363006481976,18.0319976806641
20220715,Mellingebacken 6,60,2,Unknown,4185,1300000,2022-07-15,21667,20,59.3982273489711,17.9015350341797
2021111,Skäftingebacken 5,60,2,Unknown,4103,1560000,2021-11-01,26000,21,59.3975282434791,17.9008483886719
20221117,Grimstagatan 66D,60,2,Unknown,2747,1700000,2022-11-17,28333,34,59.3562554845376,17.8726959228516
20221110,Grimstagatan 58D,60,2,Hevrê Yildiz,2748,1800000,2022-11-10,30000,33,59.3559055007418,17.8733825683594
20221028,Göksholmsbacken 20,60,2,Unknown,4085,1895000,2022-10-28,31583,11,59.2591719474799,18.0162048339844
20221011,Duvedsvägen 13,60,2,Unknown,4076,1900000,2022-10-11,31667,34,59.3657036830743,17.8733825683594
2022061,Astrakangatan 102,60,2,Viktor Göranzon,3962,1900000,2022-06-01,31667,14,59.3723508387017,17.8404235839844
2021064,Vällingbyvägen 138,60,2,Unknown,3009,1950000,2021-06-04,32500,35,59.3643041159322,17.8788757324219
20221126,Klockhammarsgränd 4,60,2,Unknown,4483,2000000,2022-11-26,33333,21,59.2633834769899,18.0216979980469
20220120,Lerbäcksgränd 10,60,2,Unknown,3755,2000000,2022-01-20,33333,18,59.2605758484914,18.0223846435547
20220831,Bäverdammsgränd 82,60,2,Marcus Hallgren,3981,2050000,2022-08-31,34167,13,59.2518005181386,18.0333709716797
20220826,Härjedalsgatan 1,60,2,Unknown,3010,2050000,2022-08-26,34167,35,59.3646540131297,17.8788757324219
20220623,Jämtlandsgatan 150,60,2,Unknown,3573,2100000,2022-06-23,35000,37,59.3625545758247,17.8685760498047
20220223,Jämtlandsgatan 150 - vån 7,60,2,Unknown,3573,2100000,2022-02-23,35000,37,59.3625545758247,17.8685760498047
20210812,Vällingbyvägen 136,60,2,Unknown,3010,2100000,2021-08-12,35000,35,59.3646540131297,17.8788757324219
20211020,Härjedalsgatan 5,60,2,Unknown,3009,2100000,2021-10-20,35000,34,59.3650039067192,17.8781890869141
20221219,Sibeliusgången 28,60,2,Unknown,2369,2140000,2022-12-19,35667,12,59.4153509287487,17.9132080078125
20220427,Aprikosgatan 39,60,2,Martin Panjaki,3785,2150000,2022-04-27,35833,11,59.3604550086278,17.8363037109375
20220218,Loviselundsvägen 7C,60,2,Unknown,3797,2170000,2022-02-18,36167,15,59.3660535658401,17.8411102294922
20220324,Vällingbyvägen 134 (Våning 1),60,2,Jimmy Solkarin,3010,2180000,2022-03-24,36333,35,59.3646540131297,17.8788757324219
20220217,Duvedsvägen 11 (0103 / 1004),60,2,Micaela Rebel,3825,2200000,2022-02-17,36667,31,59.3660535658401,17.8733825683594
20220728,Abiskovägen 20,60,2,Jimmy Armasson,3029,2200000,2022-07-28,36667,31,59.3660535658401,17.8658294677734
20211025,Härjedalsgatan 3 (Vån 1),60,2,Josef Gubrail,3010,2200000,2021-10-25,36667,35,59.3650039067192,17.8788757324219
2021056,Jämtlandsgatan 154 (Vån 5),60,2,Josef Gubrail,3845,2300000,2021-05-06,38333,36,59.3632544026919,17.8678894042969
2022062,Fjugestagränd 4,60,3,Unknown,3729,2300000,2022-06-02,38333,20,59.2630325360801,18.0059051513672
2022095,Fjugestagränd 7,60,3,Tommy Sundvall,3415,2340000,2022-09-05,39000,20,59.2630325360801,18.0072784423828
20220713,Råcksta Gårdsväg 21 (31005 / 1005),60,2,Micaela Rebel,3633,2370000,2022-07-13,39500,41,59.3541555276338,17.8871154785156
2022021,Ankarstocksvägen 11,60,3,Josef Khan,4934,2400000,2022-02-01,40000,11,59.3674530608246,17.9290008544922
20210617,Astrakangatan 110C,60,2,Unknown,4678,2400000,2021-06-17,40000,13,59.3734002705407,17.8383636474609
20221116,Trollesundsvägen 145,60,2,My Lundberg,3284,2425000,2022-11-16,40417,20,59.2605758484914,18.0491638183594
20211110,Bettnavägen 46 1tr,60,2,Unknown,2832,2470000,2021-11-10,41167,23,59.2735591909766,18.0203247070313
2022082,Loviselundsvägen 3C,60,2,Viktor Göranzon,3790,2500000,2022-08-02,41667,15,59.3660535658401,17.8424835205078
20221228,Borgarfjordsgatan 21A,60,2,Unknown,3576,2500000,2022-12-28,41667,82,59.4048681318471,17.9420471191406
20220915,Filipstadsbacken 38,60,2,Unknown,3318,2505000,2022-09-15,41750,30,59.2391600722668,18.1040954589844
20211113,Jämtlandsgatan 154 (Våning 9),60,3,Jimmy Solkarin,3845,2575000,2021-11-13,42917,36,59.3632544026919,17.8678894042969
20210623,Rävsnäsvägen 39,60,2,Unknown,3256,2590000,2021-06-23,43167,23,59.2784705167048,18.028564453125
20210811,Farsta Strandplan 2,60,2,Unknown,4152,2600000,2021-08-11,43333,29,59.2356480055343,18.1027221679688
2021099,Björnsonsgatan 130A,60,3,Anton Bjärkenrud,3344,2610000,2021-09-09,43500,34,59.3482049442239,17.8795623779297
20220621,Skebokvarnsvägen 127,60,3,Unknown,3185,2620000,2022-06-21,43667,24,59.2675944859497,18.0381774902344
20220929,Harpsundsvägen 39,60,2,Unknown,3144,2625000,2022-09-29,43750,20,59.2637344142848,18.0457305908203
20220129,Aprikosgatan 37,60,3,Daniel Aslan,3733,2650000,2022-01-29,44167,11,59.360105068133,17.8363037109375
2022031,Trollesundsvägen 171,60,2,Unknown,3407,2650000,2022-03-01,44167,19,59.2602248786613,18.0471038818359
20210811,Bettnavägen 48,60,2,Unknown,2832,2650000,2021-08-11,44167,23,59.2735591909766,18.0203247070313
20221129,Bettnavägen 46,60,2,Unknown,2832,2730000,2022-11-29,45500,23,59.2735591909766,18.0203247070313
20220517,Elin Wägners Gata 4,60,2,Thomas Kihlman,3707,2750000,2022-05-17,45833,38,59.285134754392,17.9729461669922
20221014,Kristallvägen 26,60,3,Oscar Lindberg,3155,2790000,2022-10-14,46500,92,59.2900444106058,17.9969787597656
20210812,Dansbanevägen 14,60,3,Unknown,3214,2860000,2021-08-12,47667,107,59.2970569767589,18.0093383789063
