Date,Adress,Size,Rooms,Broker,Rent,Price,Datetime,PricePerKvm,NearbyPOIs,Latitude,Longitude
20220323,Jämtlandsgatan 94,24,1,Nikola Markulic,1375,1625000,2022-03-23,67708,36,59.3604550086278,17.8706359863281
20221221,Arvodesvägen 23,24,1,Unknown,1606,1650000,2022-12-21,68750,67,59.2991604648118,17.984619140625
20220218,Holbergsgatan 44,24,1,Andreas Nilsson,1086,1650000,2022-02-18,68750,38,59.3468046553733,17.8871154785156
20220915,Skridskovägen 9A,24,1,Arber Ismajli,1290,1825000,2022-09-15,76042,49,59.2924989731457,17.9756927490234
2022114,Arvodesvägen 6,24,1,Fadi Shamoun,1924,1900000,2022-11-04,79167,57,59.2995110335101,17.9825592041016
2022061,Svärdlångsvägen 45,24,1,Unknown,2491,1950000,2022-06-01,81250,154,59.2991604648118,18.0313110351563
20220817,Hägerstensvägen 191,24,1,Unknown,1873,1950000,2022-08-17,81250,73,59.3044186159904,17.9880523681641
20210319,Sparbanksvägen 10,24,1,Astrid Skogh,1611,1980000,2021-03-19,82500,58,59.2984593165776,17.9825592041016
2022098,Östrandsvägen 70A,24,1,Juan Lagos,1621,1995000,2022-09-08,83125,32,59.2826796607015,18.0471038818359
20210927,Skulptörvägen 3,24,1,Unknown,1699,2040000,2021-09-27,85000,343,59.2960051839625,18.0786895751953
2021038,Konstgjutarvägen 30,24,1,Walid Mirzazadeh,1783,2050000,2021-03-08,85417,244,59.2942521237142,18.0759429931641
20221129,Ljusstöparbacken 7B,24,1,Nicklas Talvitie,1464,2050000,2022-11-29,85417,175,59.3145820704793,18.0107116699219
20220817,Bergsrådsvägen 36,24,1,Unknown,1865,2100000,2022-08-17,87500,25,59.2749624991807,18.12744140625
20220629,Svandammsplan 8,24,1,Milot Ismajli,1743,2100000,2022-06-29,87500,94,59.3005627179305,18.0031585693359
20220811,Hallebergsvägen 26,24,1,Emma Bogren,1368,2100000,2022-08-11,87500,68,59.3380515416625,17.9839324951172
2022029,Sparbanksvägen 14,24,1,Astrid Skogh,1643,2125000,2022-02-09,88542,58,59.2981087370418,17.9825592041016
20220813,Sparfvenfeltsgatan 11,24,1,Marie Bertilsson,1985,2150000,2022-08-13,89583,416,59.2984593165776,18.0917358398438
20210829,Majstångsvägen 11,24,1,Unknown,1647,2220000,2021-08-29,92500,111,59.3037175761259,18.0079650878906
20220919,Gullmarsvägen 8 - Accepterat pris!,24,1,Unknown,1219,2235000,2022-09-19,93125,497,59.2984593165776,18.0773162841797
20221024,Kungsbro Strand 21,24,1,Tolgay Erdinc,2192,2265000,2022-10-24,94375,1400,59.3306971826286,18.050537109375
20211013,Alviksvägen 23 - 0,24,1,Joel Beck-Friis,1281,2300000,2021-10-13,95833,47,59.3313976663669,17.9756927490234
20220826,Smedsbacksgatan 8,24,1,Unknown,1273,2300000,2022-08-26,95833,183,59.3471547329996,18.1006622314453
20220812,Ahlsellvägen 6,24,1,Unknown,1882,2350000,2022-08-12,97917,168,59.3541555276338,18.0972290039063
20220927,Brännkyrkagatan 46,24,1,Unknown,1582,2350000,2022-09-27,97917,1500,59.3191371158507,18.0601501464844
20221027,Furusundsgatan 6,24,1,Unknown,1985,2400000,2022-10-27,100000,248,59.3478548774249,18.0958557128906
20210614,Artemisgatan 15,24,1,Pontus Spelmans,1429,2400000,2021-06-14,100000,111,59.3552055223245,18.0999755859375
20221124,Artemisgatan 13,24,1,Marcus Ljungdahl,1429,2445000,2022-11-24,101875,117,59.3548555277029,18.0999755859375
20220916,Erik Dahlbergsgatan 36,24,1,Mathias Dominius,1383,2495000,2022-09-16,103958,346,59.3440039044291,18.0931091308594
20221221,Sysslomansgatan 26,24,1,Unknown,942,2495000,2022-12-21,103958,462,59.3306971826286,18.0237579345703
