Date,Adress,Size,Rooms,Broker,Rent,Price,NearbyPOIs,Latitude,Longitude,PricePerKvm
20190924.0,Nytorgsgatan 15 A,24.0,1.0,Historiska Hem,1378.0,2935000.0,1100.0,59.31621220205322,18.08074951171875,122292.0
20190923.0,Valhallavägen 153,22.0,1.0,Lagerlings,889.0,2500000.0,443.0,59.34073095931448,18.09173583984375,113636.0
20190921.0,Stamdikesvägen 10C,22.0,2.0,ELIASES STHLM,1881.0,1795000.0,29.0,59.37432792397284,17.867889404296875,81591.0
20190921.0,Västmannagatan 33,23.0,1.0,Fastighetsmäklarna Danderyd,881.0,2875000.0,1100.0,59.33933036401609,18.04916381835937,125000.0
20190921.0,Sturegatan 19,22.0,1.0,Innerstadsspecialisten Stockholm AB,590.0,2730000.0,1200.0,59.341431235306,18.076629638671875,124091.0
20190919.0,Arkadvägen 1,23.0,1.0,HusmanHagberg Enskede,1675.0,2100000.0,275.0,59.29448081136921,18.08624267578125,91304.0
20190919.0,Alströmergatan 49,20.0,1.0,Properties & Partners Stockholm,1482.0,2400000.0,408.0,59.33652900015258,18.02581787109375,120000.0
20190918.0,Kronobergsgatan 20,20.0,1.0,Notar,1419.0,2500000.0,620.0,59.335128231584385,18.035430908203125,125000.0
20190918.0,Tavastgatan 28,25.0,1.0,Erik Olsson Fastighetsförmedling,1507.0,2500000.0,1500.0,59.319715964854154,18.06015014648437,100000.0
20190918.0,Valhallavägen 47,25.0,1.0,Mäklarhuset Stockholm Innerstan,1377.0,2700000.0,1200.0,59.34773306953446,18.065643310546875,108000.0
20190918.0,Doktor Widerströms gata 46,25.0,1.0,BOSTHLM Fastighetsmäklare AB,1958.0,1900000.0,26.0,59.285363514846466,17.9571533203125,76000.0
20190917.0,Kungsklippan 11,24.0,1.0,Fastighetsbyrån Stockholm - Kungsholmen,1731.0,2515000.0,1300.0,59.329524579699104,18.04779052734375,104792.0
20190916.0,Grevgatan 23 B,24.0,1.0,Fastighetsbyrån Stockholm – Östermalm,1871.0,2725000.0,984.0,59.333727405256454,18.084869384765625,113542.0
20190916.0,Storsegelvägen 4,24.0,1.0,Alicia Edelman Fastighetsmäkleri,1300.0,2600000.0,131.0,59.31621220205322,17.999725341796875,108333.0
20190916.0,Forsskålsgatan 16,20.0,1.0,Länsförsäkringar Fastighetsförmedling Stockholm - Enskede,1688.0,2000000.0,469.0,59.29938911327655,18.0889892578125,100000.0
20190915.0,Tomtebogatan 39,24.0,1.0,Svensk Fastighetsförmedling Sthlm Vasastan,1481.0,2750000.0,448.0,59.341431235306,18.028564453125,114583.0
20190914.0,Inedalsgatan 15,21.0,1.0,SkandiaMäklarna Stockholm Kungsholmen,1416.0,3100000.0,620.0,59.335128231584385,18.035430908203125,147619.0
20190913.0,Fågelkärrsvägen 2D,22.0,1.0,Bjurfors Enskede,1237.0,2230000.0,122.0,59.287467723140594,18.08624267578125,101364.0
20190912.0,Rörstrandsgatan 42A,24.0,1.0,SkandiaMäklarna Stockholm Vasastan,860.0,2975000.0,448.0,59.341431235306,18.028564453125,123958.0
20190912.0,Fågelkärrsvägen 2C,23.0,1.0,Bjurfors Enskede,1293.0,2350000.0,122.0,59.287467723140594,18.08624267578125,102174.0
20190912.0,Rödabergsgatan 9A,21.0,1.0,Svensk Fastighetsförmedling Sthlm Vasastan,1570.0,2430000.0,566.0,59.34353197665222,18.035430908203125,115714.0
20190912.0,Inedalsgatan 15,23.0,1.0,Mäklarhuset Stockholm Innerstan,1560.0,3250000.0,620.0,59.335128231584385,18.035430908203125,141304.0
20190912.0,Jungfrugatan 54,22.0,1.0,Notar,819.0,3025000.0,752.0,59.341431235306,18.08624267578125,137500.0
20190911.0,Erik Dahlbergsgatan 18,25.0,1.0,Svensk Fastighetsförmedling Sthlm Östermalm/Gärdet,1275.0,2520000.0,439.0,59.341431235306,18.09173583984375,100800.0
2019099.0,Sankt Eriksgatan 13,20.0,1.0,Erik Olsson Fastighetsförmedling,971.0,2500000.0,566.0,59.33022508672785,18.029937744140625,125000.0
2019097.0,Ekhagsvägen 10,23.0,1.0,Länsförsäkringar Fastighetsförmedling Stockholm - Östermalm,1554.0,2100000.0,32.0,59.37152944697418,18.0560302734375,91304.0
2019096.0,Gröndalsvägen 27,25.0,1.0,Erik Olsson Fastighetsförmedling,1224.0,2475000.0,224.0,59.31551140615839,18.013458251953125,99000.0
2019096.0,Bergsrådsvägen 36,24.0,1.0,Svensk Fastighetsförmedling Farsta-Enskede,1865.0,2080000.0,25.0,59.27484052203332,18.12744140625,86667.0
2019096.0,Igeldammsgatan 38,23.0,1.0,SkandiaMäklarna Stockholm Kungsholmen,1619.0,2400000.0,370.0,59.337929710962655,18.0230712890625,104348.0
2019095.0,Brännkyrkagatan 92A,25.0,1.0,Erik Olsson Fastighetsförmedling,1871.0,2700000.0,783.0,59.31761375050765,18.04779052734375,108000.0
2019095.0,Tavastgatan 31,25.0,1.0,Mäklarhuset Essingen & Fredhäll,758.0,2700000.0,1500.0,59.319015241183074,18.05877685546875,108000.0
2019094.0,Hälsingegatan 35,20.5,1.0,Alexander White,1530.0,2560000.0,781.0,59.34423219489216,18.040924072265625,124878.0
2019093.0,Smedsbacksgatan 16,21.0,2.0,Länsförsäkringar Fastighetsförmedling Stockholm - Östermalm,1366.0,2700000.0,185.0,59.34773306953446,18.0999755859375,128571.0
2019093.0,Värtavägen 59,24.0,1.0,Notar,1206.0,2600000.0,176.0,59.34773306953446,18.101348876953125,108333.0
2019091.0,Bondegatan 45,22.0,1.0,Svensk Fastighetsförmedling Sthlm Södermalm,1253.0,2600000.0,736.0,59.314109771032584,18.087615966796875,118182.0
20190830.0,Sibyllegatan 26,24.0,1.0,Fastighetsbyrån Stockholm – Östermalm,1025.0,2955000.0,1000.0,59.337929710962655,18.08212280273437,123125.0
20190830.0,Storsjövägen 34 A,25.0,1.0,Fastighetsbyrån Årsta,1406.0,2125000.0,152.0,59.29868797064062,18.03955078125,85000.0
20190830.0,Norr Mälarstrand 68,22.0,1.0,Svensk Fastighetsförmedling Sthlm Kungsholmen,1036.0,2510000.0,605.0,59.32812352231692,18.032684326171875,114091.0
20190830.0,Ljusstöparbacken 11B,22.0,1.0,Le Grand Propriété,1217.0,2000000.0,158.0,59.314109771032584,18.00933837890625,90909.0
20190830.0,Fleminggatan 58,24.0,1.0,BOSTHLM Fastighetsmäklare AB,1294.0,2775000.0,516.0,59.335128231584385,18.029937744140625,115625.0
